RESPONDENT_ID,ad_id,brand,page_num,page_pos,brand_fix,pic_fix,brand_size,pic_size,recall_accu,RECALL_TIME
28,33,Daihatsu,123,1,0,19,2.9915,65.11395,0,1.64
28,34,DelMonte,125,1,7,12,7.36715,77.63175,1,1.36
28,35,Lancome,127,1,3,5,16.98025,60.2206,1,1.36
29,1,Armani,2,0,0,1,17.06395,74.19695,1,2.64
29,2,LOreal,5,1,0,0,4.38185,52.58685,0,2.04
29,3,Astnor,6,0,1,5,6.85565,77.6116,0,2.44
29,4,MarieJo,11,1,0,2,2.914,71.3558,0,1.6
29,5,SiSi,13,1,0,3,4.09045,52.40085,0,1.56
29,6,ClearBlue,14,0,0,0,2.2537,77.60385,0,1.52
29,7,Lancaster,17,1,1,10,2.37925,88.0896,0,1.36
29,8,Barclay,18,0,0,0,4.9166,72.6268,1,2.64
29,9,Dior,21,1,6,6,17.236,64.2072,1,4.16
29,10,Citroen,22,0,0,0,1.9902,71.15895,1,4.36
29,11,Nivea,25,1,2,2,4.54925,61.79385,1,1.4
29,12,Davidoff,26,0,0,0,1.8321,78.3742,1,2.48
29,13,Dali,29,1,0,1,6.6774,68.4728,0,1.56
29,14,Kapper,31,1,0,12,3.63475,69.7221,0,4.12
29,15,Alfa,32,0,0,0,2.72335,61.6156,1,3.32
29,16,Legere,35,1,1,3,14.3065,53.30915,1,4
29,17,Spa,40,0,0,6,11.3088,77.6488,0,3.76
29,18,Stuyvesant,43,1,1,1,4.82205,51.2554,1,1.68
29,19,Margriet,48,0,0,2,1.8817,76.23675,0,2.24
29,20,Chantelle,55,1,4,3,25.1658,80.1195,1,1.48
29,21,Kodak,69,1,4,7,4.27645,64.76365,1,1.44
29,22,Gilette,71,1,3,5,1.9592,75.83065,1,1.84
29,23,Silan,75,1,4,3,9.19925,64.90315,1,1.68
29,24,Fancy,76,0,2,2,4.57715,32.82435,1,2.8
29,25,Cartoon,94,0,3,9,9.38525,75.57335,0,1.92
29,26,VanderBilt,96,0,6,7,16.2781,71.25505,1,1.72
29,27,Viva,98,0,0,0,3.0659,24.0219,1,1.04
29,28,Arden,99,1,5,5,9.3124,77.62865,1,3.32
29,29,Gauloises,107,1,2,3,5.9644,77.6674,0,2.12
29,30,Appelsientje,108,0,1,5,2.0987,75.08665,1,1.76
29,31,Conimex,113,1,1,6,4.5787,55.6357,1,2
29,32,Corona,114,0,0,6,1.81505,84.42385,1,1.8
29,33,Daihatsu,123,1,0,5,2.9915,65.11395,1,1.4
29,34,DelMonte,125,1,3,6,7.36715,77.63175,1,1.24
29,35,Lancome,127,1,8,7,16.98025,60.2206,1,3.44
30,1,Armani,2,0,0,0,17.06395,74.19695,1,4.28
30,2,LOreal,5,1,2,5,4.38185,52.58685,0,2.44
30,3,Astnor,6,0,0,2,6.85565,77.6116,1,3.56
30,4,MarieJo,11,1,1,1,2.914,71.3558,1,3.4
30,5,SiSi,13,1,0,2,4.09045,52.40085,0,1.4
30,6,ClearBlue,14,0,0,3,2.2537,77.60385,0,3.32
30,7,Lancaster,17,1,0,1,2.37925,88.0896,0,1.56
30,8,Barclay,18,0,0,2,4.9166,72.6268,0,1.64
30,9,Dior,21,1,6,4,17.236,64.2072,0,3.2
30,10,Citroen,22,0,0,6,1.9902,71.15895,1,2.92
30,11,Nivea,25,1,1,2,4.54925,61.79385,1,1
30,12,Davidoff,26,0,0,2,1.8321,78.3742,0,2.92
30,13,Dali,29,1,0,5,6.6774,68.4728,0,3.96
30,14,Kapper,31,1,0,0,3.63475,69.7221,0,3.96
30,15,Alfa,32,0,2,2,2.72335,61.6156,1,2.72
30,16,Legere,35,1,7,2,14.3065,53.30915,1,1.4
30,17,Spa,40,0,0,0,11.3088,77.6488,1,1.76
30,18,Stuyvesant,43,1,1,3,4.82205,51.2554,1,1.08
30,19,Margriet,48,0,0,1,1.8817,76.23675,0,1.88
30,20,Chantelle,55,1,9,5,25.1658,80.1195,1,2.44
30,21,Kodak,69,1,0,7,4.27645,64.76365,1,1.92
30,22,Gilette,71,1,0,4,1.9592,75.83065,1,0.28
30,23,Silan,75,1,5,4,9.19925,64.90315,1,1.64
30,24,Fancy,76,0,0,0,4.57715,32.82435,1,1.96
30,25,Cartoon,94,0,0,2,9.38525,75.57335,0,2
30,26,VanderBilt,96,0,2,9,16.2781,71.25505,1,1.68
30,27,Viva,98,0,0,0,3.0659,24.0219,1,2.96
30,28,Arden,99,1,4,8,9.3124,77.62865,1,3.36
30,29,Gauloises,107,1,1,5,5.9644,77.6674,0,4.32
30,30,Appelsientje,108,0,0,7,2.0987,75.08665,1,1.76
30,31,Conimex,113,1,0,2,4.5787,55.6357,0,4.12
30,32,Corona,114,0,0,9,1.81505,84.42385,1,1.44
30,33,Daihatsu,123,1,0,5,2.9915,65.11395,1,3
30,34,DelMonte,125,1,2,4,7.36715,77.63175,1,2.96
30,35,Lancome,127,1,7,8,16.98025,60.2206,1,2.08
31,1,Armani,2,0,6,12,17.06395,74.19695,1,1.32
31,2,LOreal,5,1,0,6,4.38185,52.58685,0,3.04
31,3,Astnor,6,0,6,11,6.85565,77.6116,1,1.52
31,4,MarieJo,11,1,1,6,2.914,71.3558,1,1.96
31,5,SiSi,13,1,0,4,4.09045,52.40085,0,3.32
31,6,ClearBlue,14,0,2,5,2.2537,77.60385,0,2.32
31,7,Lancaster,17,1,0,9,2.37925,88.0896,1,3.56
31,8,Barclay,18,0,0,10,4.9166,72.6268,1,2.84
31,9,Dior,21,1,8,1,17.236,64.2072,1,1.56
31,10,Citroen,22,0,0,8,1.9902,71.15895,0,2.12
31,11,Nivea,25,1,3,2,4.54925,61.79385,1,1.56
31,12,Davidoff,26,0,1,10,1.8321,78.3742,1,2.28
31,13,Dali,29,1,2,9,6.6774,68.4728,1,3.2
31,14,Kapper,31,1,1,8,3.63475,69.7221,1,1.84
31,15,Alfa,32,0,4,10,2.72335,61.6156,1,2.16
31,16,Legere,35,1,13,7,14.3065,53.30915,1,3
31,17,Spa,40,0,3,7,11.3088,77.6488,1,2.44
